bill_id,date,time,product_id,product_name,quantity,unit_price,total_amount
79,2025-08-06,21:01:54,647,Methotrexate 10ml syrup,5,1089.56,5447.8
80,2025-09-02,11:32:54,57,Metformin,3,214.56,643.68
81,2025-11-21,13:22:54,302,Clopidogrel,2,1363.99,2727.98
82,2025-10-26,17:43:54,426,Fluoxetine,2,1414.92,2829.84
83,2025-06-05,09:40:54,916,Pantoprazole,3,1451.9,4355.7
84,2025-10-27,10:15:54,125,Paracetamol,2,74.95,149.9
85,2025-11-08,02:54:54,593,Neomycin,1,1232.81,1232.81
86,2025-11-09,16:46:54,595,Erythromycin 10ml tablet,4,45.65,182.6
87,2025-08-10,15:57:54,247,Omeprazole,2,1861.64,3723.28
88,2025-11-01,16:17:54,475,Promethazine,5,1400.37,7001.85
89,2025-06-30,15:23:54,214,Metronidazole,4,800.17,3200.68
90,2025-10-29,08:46:54,625,Topiramate,1,1290.36,1290.36
91,2025-11-12,07:07:54,885,Propranolol 10ml syrup,1,1540.62,1540.62
92,2025-11-04,13:11:54,818,Vildagliptin 50mg capsule,5,1921.57,9607.85
93,2025-10-06,21:21:54,727,Tacrolimus 250mcg capsule,2,1568.39,3136.78
94,2025-10-11,18:31:54,753,Lamotrigine,3,1351.47,4054.41
95,2025-11-21,14:19:54,481,Cefuroxime,2,915.84,1831.68
96,2025-09-17,21:37:54,367,Donepezil 5ml gel,3,206.23,618.69
97,2025-08-30,11:56:54,576,Topiramate,5,213.6,1068.0
98,2025-06-25,09:09:54,164,Dextromethorphan 125mg cream,5,26.11,130.55
99,2025-07-06,15:05:54,984,Atorvastatin 50mg suspension,1,523.89,523.89
100,2025-07-03,16:56:54,225,Tadalafil,5,1665.08,8325.4
101,2025-10-04,10:52:54,106,Cyclophosphamide,3,565.07,1695.21
102,2025-10-15,23:04:54,932,Azithromycin 100mg gel,1,571.69,571.69
103,2025-11-03,10:06:54,960,Levothyroxine 50mg cream,5,1262.31,6311.55
104,2025-07-30,04:54:54,43,Clotrimazole 250mg capsule,5,1725.02,8625.1
105,2025-10-12,02:24:54,541,Folic Acid,1,211.5,211.5
106,2025-10-13,05:18:54,781,Promethazine,4,1074.85,4299.4
107,2025-08-12,10:06:54,554,Cyclophosphamide,5,1117.16,5585.8
108,2025-10-01,03:30:54,491,Bacitracin,1,1801.88,1801.88
109,2025-09-09,13:11:54,596,Paracetamol,4,1755.2,7020.8
110,2025-10-30,23:40:54,39,Folic Acid 20mg cream,2,1396.22,2792.44
111,2025-07-25,05:05:54,198,Pantoprazole,3,129.36,388.08
112,2025-07-09,16:01:54,929,Lamotrigine,1,1292.39,1292.39
113,2025-09-06,00:33:54,852,Donepezil 20mg capsule,1,1067.81,1067.81
114,2025-08-22,07:44:54,829,Dextromethorphan,4,926.14,3704.56
115,2025-06-28,06:46:54,777,Pseudoephedrine,4,1199.19,4796.76
116,2025-10-01,22:30:54,131,Metformin,4,508.23,2032.92
117,2025-09-15,02:48:54,255,Simvastatin,2,1092.72,2185.44
118,2025-11-11,01:10:54,528,Cyclophosphamide,3,641.39,1924.17
119,2025-10-14,16:58:54,372,Neomycin,4,344.78,1379.12
120,2025-06-09,13:49:54,589,Ketoconazole 250mcg suspension,4,117.58,470.32
121,2025-08-07,23:34:54,643,Domperidone,1,1832.66,1832.66
122,2025-10-29,12:31:54,312,Salbutamol,4,1457.53,5830.12
123,2025-08-17,17:41:54,751,Insulin Regular 1mg syrup,5,961.86,4809.3
124,2025-11-02,11:39:54,941,Pregabalin 500mg syrup,1,301.98,301.98
125,2025-08-27,10:37:54,190,Vildagliptin 250mcg cream,3,1997.19,5991.57
126,2025-10-07,21:06:54,320,Mupirocin 2mg cream,4,227.36,909.44
127,2025-10-28,09:28:54,441,Salbutamol,4,569.36,2277.44
128,2025-07-24,07:54:54,193,Ezetimibe,5,1989.31,9946.55
129,2025-06-30,08:05:54,483,Dextromethorphan,4,1022.56,4090.24
130,2025-08-29,01:10:54,30,Insulin Glargine 100mg tablet,5,1720.67,8603.35
131,2025-08-17,00:52:54,976,Valproate,5,26.87,134.35
132,2025-09-18,12:23:54,547,Naproxen 20mg gel,4,533.96,2135.84
133,2025-11-01,13:14:54,174,Niacin,3,59.8,179.4
134,2025-07-26,00:26:54,225,Tadalafil,2,1665.08,3330.16
135,2025-06-21,12:49:54,83,Niacin 2mg drop,1,885.35,885.35
136,2025-11-03,15:36:54,435,Erythromycin 10mg drop,1,1149.7,1149.7
137,2025-07-23,18:16:54,765,Domperidone,1,768.33,768.33
138,2025-10-14,04:21:54,532,Vildagliptin 1mg capsule,5,1493.23,7466.15
139,2025-06-08,06:15:54,869,Cefixime,2,452.88,905.76
140,2025-09-11,20:11:54,419,Hydroxychloroquine 10ml capsule,5,495.39,2476.95
141,2025-11-04,14:48:54,775,Insulin NPH,5,1678.65,8393.25
142,2025-07-25,01:30:54,79,Doxycycline,2,1604.82,3209.64
143,2025-09-13,18:49:54,672,Azithromycin,4,155.76,623.04
144,2025-07-26,00:11:54,993,Rivastigmine 2mg gel,3,1535.35,4606.05
145,2025-07-13,05:41:54,607,Ranitidine,5,236.88,1184.4
146,2025-07-12,16:48:54,223,Sodium Bicarbonate,1,639.12,639.12
147,2025-08-10,13:21:54,210,Ondansetron,4,573.66,2294.64
148,2025-08-05,06:40:54,69,Azathioprine,4,822.7,3290.8
149,2025-08-07,01:43:54,84,Methotrexate 5ml gel,1,310.15,310.15
150,2025-11-20,11:22:54,549,Phenylephrine,5,131.36,656.8
151,2025-06-13,07:04:54,933,Sertraline,2,817.32,1634.64
152,2025-07-26,02:42:54,152,Vitamin D3,2,944.29,1888.58
153,2025-09-10,04:08:54,860,Salbutamol,4,624.91,2499.64
154,2025-10-30,21:59:54,410,Mupirocin,4,842.42,3369.68
155,2025-06-12,22:30:54,753,Lamotrigine,5,1351.47,6757.35
156,2025-07-05,01:22:54,672,Azithromycin,4,155.76,623.04
157,2025-07-08,12:04:54,885,Propranolol 10ml syrup,5,1540.62,7703.1
158,2025-11-14,04:03:54,243,Dextromethorphan,3,769.93,2309.79
159,2025-07-24,21:14:54,642,Cyclophosphamide,4,1205.09,4820.36
160,2025-06-23,18:19:54,500,Metronidazole 500mg syrup,3,220.26,660.78
161,2025-09-17,06:28:54,952,Clotrimazole,1,459.22,459.22
162,2025-11-20,21:15:54,46,Methotrexate 5ml suspension,1,639.19,639.19
163,2025-10-27,04:54:54,90,B12 Injection,3,1361.49,4084.47
164,2025-07-02,16:29:54,264,Naproxen,3,540.77,1622.31
165,2025-08-23,14:05:54,90,B12 Injection,4,1361.49,5445.96
166,2025-09-01,05:13:54,408,Valproate 20mg drop,4,512.84,2051.36
167,2025-08-31,15:29:54,794,Clopidogrel,2,1989.13,3978.26
168,2025-09-26,09:24:54,580,Vitamin C,3,526.26,1578.78
169,2025-06-30,14:31:54,992,Mupirocin 2mg gel,1,119.84,119.84
170,2025-09-11,13:30:54,684,Gabapentin,3,1103.83,3311.49
171,2025-10-16,16:44:54,299,Glibenclamide 1mg drop,5,867.55,4337.75
172,2025-09-06,16:08:54,693,Atorvastatin,4,72.08,288.32
173,2025-06-13,02:59:54,192,Atorvastatin,5,261.12,1305.6
174,2025-07-20,03:02:54,135,Gabapentin 250mg gel,3,1328.54,3985.62
175,2025-11-22,17:39:54,489,Metoprolol,4,918.92,3675.68
176,2025-07-01,16:39:54,447,Insulin Regular,3,661.31,1983.93
177,2025-08-23,21:56:54,317,Hydroxychloroquine,4,1868.06,7472.24
178,2025-09-06,21:52:54,553,Furosemide 250mcg suspension,1,523.19,523.19
179,2025-07-26,14:00:54,288,Rivastigmine,2,1148.55,2297.1
180,2025-09-03,00:27:54,327,Cefixime,5,1873.85,9369.25
181,2025-06-11,05:49:54,526,Vitamin D3,2,753.45,1506.9
182,2025-06-24,07:11:54,634,Pantoprazole,3,716.73,2150.19
183,2025-08-09,10:31:54,113,Cyclosporine,4,620.18,2480.72
184,2025-06-19,14:50:54,50,Pseudoephedrine 250mcg capsule,5,1780.53,8902.65
185,2025-10-05,07:36:54,269,Amlodipine 250mcg suspension,3,1362.03,4086.09
186,2025-11-16,07:16:54,976,Valproate,5,26.87,134.35
187,2025-08-18,09:42:54,349,Erythromycin 250mg injection,5,931.38,4656.9
188,2025-11-04,21:40:54,724,Furosemide,1,800.93,800.93
189,2025-06-30,05:55:54,859,Calcium,3,1089.05,3267.15
190,2025-11-10,22:04:54,97,Doxycycline 50mg syrup,5,1342.22,6711.1
191,2025-07-30,02:50:54,649,Gabapentin,2,1756.18,3512.36
192,2025-09-01,14:47:54,460,Metoprolol,3,1065.71,3197.13
193,2025-07-22,07:10:54,612,Metoprolol,4,1292.23,5168.92
194,2025-06-11,22:59:54,126,Insulin NPH,3,1377.9,4133.7
195,2025-10-08,03:16:54,734,Fluconazole,4,1561.55,6246.2
196,2025-09-24,20:05:54,472,Ketoconazole,5,1284.67,6423.35
197,2025-08-03,18:29:54,665,Ondansetron,5,698.55,3492.75
198,2025-10-13,16:46:54,635,Niacin,5,1407.17,7035.85
199,2025-10-11,21:43:54,395,Omeprazole 5ml drop,4,273.69,1094.76
200,2025-10-04,18:51:54,102,Loratadine,4,1070.16,4280.64
201,2025-11-29,11:08:35,50,Pseudoephedrine 250mcg capsule,2,1780.53,3561.06
202,2025-11-29,11:17:58,72,Paracetamol 500mg suspension,2,889.15,1778.3
203,2025-11-29,12:03:58,1002,dolo,5,46,230.0
204,2025-12-12,15:53:45,1002,dolo,1,46,46.0
205,2025-12-12,15:54:54,1002,dolo,4,46,184.0
206,2025-12-12,15:55:18,4,Phenylephrine,1,1520.03,1520.03
207,2025-12-13,14:46:09,125,Paracetamol,1,74.95,74.95
