id,name,Manufacturer,expiry_date,quantity,price
72,Paracetamol 500mg suspension,Alembic,2026-08-12,117,889.15
73,Topiramate 10mg syrup,Galderma,2023-12-14,72,1035.75
74,Niacin,Dr. Reddy's,2025-08-20,172,627.73
75,Hydrocortisone 50mg injection,Emcure,2023-10-26,116,834.74
76,Fenofibrate,Takeda,2027-04-22,126,805.31
77,Vitamin D3,Cipla,2024-03-12,199,856.04
78,Diclofenac,Takeda,2028-10-22,118,109.93
79,Doxycycline,Glenmark,2028-02-13,34,1604.82
80,Gabapentin,Wockhardt,2026-07-23,193,1783.94
81,Vildagliptin,MacLeods,2027-10-14,140,897.37
82,Iron,Emcure,2028-01-18,66,1506.04
83,Niacin 2mg drop,Merck,2025-09-06,70,885.35
84,Methotrexate 5ml gel,Abbott,2023-11-27,35,310.15
85,Clopidogrel,Takeda,2025-05-26,16,835.59
86,Lorazepam,Sanofi,2023-09-13,52,1667.45
87,Clopidogrel,Alembic,2023-03-22,195,1155.62
88,Mupirocin 10ml cream,Indoco Remedies,2027-05-17,107,1081.06
89,Tacrolimus,Hetero Labs,2025-06-22,124,446.65
90,B12 Injection,Novartis,2026-10-08,171,1361.49
91,Enalapril,Bayer,2024-06-06,159,1072.91
92,Warfarin,Galderma,2023-04-22,21,1289.07
93,Vitamin C,Aurobindo Pharma,2023-07-25,66,764.42
94,Budesonide,Abbott,2027-04-02,71,1506.5
95,Spironolactone 100mg drop,Cipla,2023-08-02,89,456.2
96,Losartan,Merck,2023-06-14,193,71.75
97,Doxycycline 50mg syrup,Torrent Pharma,2024-06-01,121,1342.22
98,Sodium Bicarbonate,Bayer,2025-11-15,196,744.1
99,Sitagliptin,RPG Life Sciences,2024-04-14,199,1640.41
100,Tadalafil 50mg cream,Alembic,2027-03-18,101,1883.53
101,Hydrocortisone 125mg injection,Glenmark,2026-05-20,175,1204.82
102,Loratadine,Alembic,2023-06-18,88,1070.16
103,Pregabalin 2mg gel,Cipla,2027-09-17,125,220.02
104,Citalopram,Bayer,2024-09-18,111,360.51
105,Benzoyl Peroxide,Mankind Pharma,2028-06-03,119,876.79
106,Cyclophosphamide,Abbott,2025-10-02,22,565.07
107,Cetirizine-D 10mg suspension,Abbott,2023-04-28,126,1703.4
108,Naproxen,Pfizer,2025-11-24,87,566.52
109,Linagliptin,Mankind Pharma,2023-02-11,132,1896.64
110,Simvastatin 20mg drop,Wockhardt,2025-09-11,176,957.43
111,Methotrexate,Cipla,2024-01-17,75,450.98
112,Valproate 250mcg gel,Emcure,2028-12-14,88,856.75
113,Cyclosporine,Pfizer,2028-02-02,69,620.18
114,Metronidazole 500mg gel,Glenmark,2025-01-28,49,440.61
115,Mupirocin 1mg cream,Glenmark,2025-03-06,75,462.69
116,Diclofenac 125mg syrup,Mankind Pharma,2023-07-06,13,1111.18
117,Lamotrigine,Merck,2028-07-03,26,1746.71
118,Dextromethorphan 10mg drop,Abbott,2025-01-25,13,512.43
119,Mupirocin 100mg suspension,Emcure,2023-10-31,147,1262.6
120,Glibenclamide 1mg cream,Dr. Reddy's,2025-10-13,30,1120.57
121,Spironolactone,Hetero Labs,2025-07-13,198,1049.92
122,Cetirizine-D,Biocon,2027-10-23,78,1141.57
123,Amlodipine,RPG Life Sciences,2024-02-11,195,423.5
124,Budesonide 100mg syrup,Torrent Pharma,2024-12-12,141,159.38
125,Paracetamol,Takeda,2028-04-08,73,74.95
126,Insulin NPH,Takeda,2028-02-03,18,1377.9
127,Cefuroxime,Merck,2025-03-21,108,238.4
128,Montelukast,Mankind Pharma,2024-08-05,18,128.68
129,Tadalafil,Alembic,2026-03-28,112,257.46
130,Valproate 20mg cream,MacLeods,2028-07-15,112,170.08
131,Metformin,RPG Life Sciences,2026-08-13,154,508.23
132,Omeprazole 250mcg tablet,Indoco Remedies,2026-01-08,147,90.06
133,Ondansetron 2mg drop,Mankind Pharma,2025-01-13,149,877.41
134,Neomycin,Emcure,2026-11-26,104,673.28
135,Gabapentin 250mg gel,Sanofi,2028-07-22,73,1328.54
136,Enalapril,Wockhardt,2023-05-31,116,185.24
137,Clarithromycin 20mg tablet,Galderma,2028-03-07,105,117.87
138,Benzoyl Peroxide 10mg drop,Indoco Remedies,2023-07-31,52,541.44
139,Levocetirizine,Bayer,2028-06-08,31,67.45
140,Fenofibrate,Torrent Pharma,2024-10-10,79,1106.17
141,Pseudoephedrine,Torrent Pharma,2024-04-09,118,1894.65
142,Rivastigmine,Emcure,2026-04-10,130,1413.77
143,Spironolactone,Emcure,2025-09-25,116,1107.02
144,Clopidogrel 1mg syrup,Dr. Reddy's,2026-02-05,197,1582.11
145,Spironolactone 2mg cream,Cipla,2026-03-04,185,604.13
146,Insulin Glargine,Galderma,2028-06-28,38,898.63
147,Mupirocin 2mg suspension,Bayer,2026-08-11,48,1961.74
148,Fluconazole,Torrent Pharma,2027-08-10,11,643.17
149,Lorazepam,Novartis,2027-05-01,169,1586.86
150,Donepezil,Emcure,2023-06-01,32,1009.56
151,Insulin Glargine 100mg drop,Glenmark,2028-11-24,116,40.54
152,Vitamin D3,Merck,2024-09-24,19,944.29
153,Cefuroxime 125mg suspension,Merck,2023-11-25,84,1706.16
154,Erythromycin 10ml drop,Wockhardt,2023-05-28,158,146.16
155,Fenofibrate,Biocon,2025-07-20,191,189.85
156,Pantoprazole,Takeda,2024-02-16,113,341.07
157,Sildenafil,Sun Pharma,2026-08-21,14,593.8
158,Escitalopram,Torrent Pharma,2028-12-15,105,1136.2
159,Naproxen 100mg suspension,Hetero Labs,2025-09-13,127,1826.53
160,Vitamin D3 250mcg cream,Bayer,2025-11-11,170,28.7
161,Orlistat,Galderma,2024-10-09,18,889.04
162,Sertraline,Biocon,2027-10-04,176,507.7
163,Sildenafil 20mg drop,Glenmark,2025-08-29,97,1148.13
164,Dextromethorphan 125mg cream,Cipla,2027-06-10,70,26.11
165,Levetiracetam,Sun Pharma,2028-07-27,73,1553.72
166,Metronidazole,Pfizer,2025-06-16,162,388.36
167,Clarithromycin,RPG Life Sciences,2024-07-14,160,203.36
168,Fenofibrate,Biocon,2027-12-11,8,1163.35
169,Cyclophosphamide 5ml gel,RPG Life Sciences,2027-08-29,44,409.58
170,Phenylephrine,Pfizer,2028-12-14,128,1827.84
171,Folic Acid 10mg cream,RPG Life Sciences,2026-10-19,29,941.98
172,Atorvastatin 500mg suspension,Wockhardt,2027-02-07,23,1583.46
173,Ibuprofen 100mg drop,Pfizer,2025-12-09,149,768.24
174,Niacin,Glenmark,2025-08-15,120,59.8
175,Gaviscon 1mg injection,Merck,2023-09-16,162,1649.47
176,Lamotrigine 20mg capsule,Lupin,2023-07-05,9,615.69
177,Bacitracin 500mg syrup,Novartis,2028-02-02,94,1344.27
178,Cyclosporine,Wockhardt,2027-09-13,150,1487.12
179,Calcium,Merck,2024-02-10,125,1235.15
180,Insulin Regular 10ml injection,Bayer,2027-12-27,60,1712.35
181,Pantoprazole,Pfizer,2027-01-09,15,802.3
182,Prednisolone,Bayer,2024-01-11,169,432.09
183,Niacin,Cipla,2023-07-27,85,494.7
184,Levocetirizine,Zydus Cadila,2023-10-09,195,1112.87
185,Insulin Glargine 500mg gel,Indoco Remedies,2024-08-27,152,15.64
186,Vitamin D3,Wockhardt,2025-10-23,44,228.75
187,Azithromycin 10ml injection,Alembic,2026-08-19,4,356.75
188,Glibenclamide 20mg capsule,RPG Life Sciences,2023-09-18,121,902.07
189,Citalopram,Glenmark,2028-01-26,128,450.88
190,Vildagliptin 250mcg cream,Bayer,2023-05-08,15,1997.19
191,Enalapril,Glenmark,2028-07-01,182,1820.3
192,Atorvastatin,Abbott,2024-08-30,16,261.12
193,Ezetimibe,Wockhardt,2026-08-24,97,1989.31
194,Salicylic Acid 2mg suspension,Glenmark,2024-04-13,167,1305.32
195,Propranolol,Zydus Cadila,2027-10-28,115,1777.3
196,Ramipril 10mg suspension,Sanofi,2024-01-25,80,859.26
197,Gabapentin 250mg drop,Dr. Reddy's,2024-01-09,21,195.53
198,Pantoprazole,Pfizer,2024-06-16,142,129.36
199,Gaviscon,Galderma,2024-05-15,105,713.66
200,Gabapentin,Sanofi,2023-07-30,73,1204.82
201,Fluoxetine 2mg injection,Lupin,2028-05-29,57,1696.08
202,Sertraline,Pfizer,2024-04-15,195,564.35
203,Montelukast,Wockhardt,2023-04-18,155,1858.88
204,Valproate 250mg cream,Takeda,2026-06-19,86,708.54
205,Naproxen,Alembic,2027-06-30,17,292.33
206,Niacin,Dr. Reddy's,2028-12-12,55,758.63
207,Loperamide 10ml cream,RPG Life Sciences,2026-08-21,198,1883.4
208,Linagliptin 50mg syrup,Aurobindo Pharma,2023-07-23,172,172.35
209,Multivitamin,Emcure,2027-12-16,106,553.6
210,Ondansetron,Pfizer,2027-10-27,28,573.66
211,Topiramate,MacLeods,2026-06-17,11,448.83
212,Linagliptin 500mg cream,Zydus Cadila,2024-07-16,195,518.48
213,Domperidone 10mg suspension,Aurobindo Pharma,2024-06-13,97,1069.84
214,Metronidazole,Galderma,2026-12-21,18,800.17
215,Tacrolimus 50mg drop,Dr. Reddy's,2026-07-06,147,864.28
216,Enalapril,Sanofi,2026-03-31,29,816.01
217,Domperidone 1mg drop,Takeda,2027-01-22,22,879.06
218,Ranitidine 1mg suspension,MacLeods,2023-11-19,101,1742.34
219,Cyclosporine 10ml syrup,Dr. Reddy's,2028-09-21,162,236.91
220,Clotrimazole 10ml gel,RPG Life Sciences,2024-08-27,60,214.58
221,Clarithromycin 1mg syrup,Indoco Remedies,2023-11-05,45,1903.07
222,Fenofibrate,Indoco Remedies,2028-01-13,174,1849.07
223,Sodium Bicarbonate,Hetero Labs,2026-08-16,160,639.12
224,Multivitamin 10mg cream,Mankind Pharma,2023-08-19,90,1019.6
225,Tadalafil,Sun Pharma,2023-08-22,94,1665.08
226,Atorvastatin,Dr. Reddy's,2028-09-07,98,930.8
227,Pseudoephedrine,RPG Life Sciences,2023-06-18,115,1819.01
228,Dextromethorphan,Abbott,2028-05-02,128,310.21
229,Amlodipine,Abbott,2023-12-12,129,1295.79
230,Metformin 10mg drop,MacLeods,2028-11-11,156,325.9
231,Escitalopram,Novartis,2027-08-02,198,683.35
232,Linagliptin 250mcg gel,Dr. Reddy's,2026-09-12,24,1120.35
233,Clopidogrel 125mg syrup,Abbott,2023-11-30,149,1330.59
234,Sertraline 250mcg suspension,Lupin,2023-12-14,79,1122.25
235,Rivastigmine,Lupin,2028-11-26,23,1295.59
236,Furosemide,Cipla,2027-01-25,79,368.72
237,Budesonide 10mg injection,Torrent Pharma,2024-07-17,39,163.56
238,Pantoprazole,Wockhardt,2028-11-26,9,1327.24
239,Propranolol,Hetero Labs,2027-03-24,39,332.87
240,Valproate,Aurobindo Pharma,2027-11-28,11,827.61
241,Topiramate,Bayer,2026-03-13,192,1499.59
242,Cetirizine-D 500mg cream,Emcure,2025-03-05,94,1359.83
243,Dextromethorphan,Bayer,2026-02-28,199,769.93
244,Salicylic Acid,Aurobindo Pharma,2025-03-28,154,285.41
245,Clarithromycin 10mg gel,Wockhardt,2024-02-25,182,1693.33
246,Loratadine 250mg cream,Bayer,2028-10-03,37,1663.78
247,Omeprazole,Torrent Pharma,2028-01-22,89,1861.64
248,Spironolactone 2mg gel,Torrent Pharma,2027-05-01,20,756.08
249,Azithromycin 100mg gel,Lupin,2024-07-17,9,580.89
250,Lorazepam,Lupin,2028-04-05,114,1234.54
251,Simvastatin 500mg syrup,Wockhardt,2028-12-01,108,231.26
252,Insulin NPH 100mg tablet,Torrent Pharma,2027-09-16,163,1589.86
253,Loperamide 10mg tablet,Merck,2028-10-11,147,491.46
254,Vitamin D3 50mg gel,Torrent Pharma,2027-09-03,47,1332.1
255,Simvastatin,Pfizer,2023-10-05,134,1092.72
256,Ketoconazole,Novartis,2028-04-09,11,1274.98
257,Escitalopram 50mg gel,Dr. Reddy's,2026-11-13,61,1468.55
258,Fenofibrate 1mg gel,Lupin,2023-07-01,90,1096.57
259,Rivastigmine 250mcg drop,Takeda,2028-05-14,161,372.73
260,Vitamin C 10mg tablet,Biocon,2025-04-05,11,1584.31
261,Metformin 5ml suspension,Wockhardt,2028-04-23,64,82.88
262,Rivastigmine 10ml tablet,Merck,2026-09-21,69,257.71
263,Escitalopram,Novartis,2027-12-07,98,684.68
264,Naproxen,Emcure,2027-02-13,132,540.77
265,Simvastatin,Dr. Reddy's,2027-10-30,154,1990.25
266,Naproxen,Abbott,2024-02-25,20,662.56
267,Levothyroxine 1mg suspension,Aurobindo Pharma,2027-12-24,89,899.79
268,Cyclophosphamide,Pfizer,2027-11-17,70,1282.54
269,Amlodipine 250mcg suspension,Pfizer,2028-10-02,191,1362.03
270,Azithromycin 1mg drop,Sun Pharma,2024-06-01,17,479.63
271,Rivastigmine 20mg tablet,Hetero Labs,2024-09-20,173,905.35
272,Escitalopram 100mg syrup,MacLeods,2027-02-12,101,635.63
273,Insulin Regular 100mg tablet,RPG Life Sciences,2025-02-01,127,1040.31
274,Gaviscon 5ml drop,Zydus Cadila,2026-03-15,177,1833.79
275,Neomycin 250mg capsule,Bayer,2024-12-08,182,895.77
276,Omeprazole,Abbott,2026-11-24,181,139.23
277,Phenylephrine 5ml syrup,Takeda,2024-12-14,92,1022.42
278,Loratadine,Lupin,2025-08-27,126,62.31
279,Pseudoephedrine,Bayer,2024-06-15,156,1769.65
280,Losartan 125mg drop,MacLeods,2027-08-10,196,824.77
281,Dextromethorphan 10ml capsule,Bayer,2028-03-23,174,1039.55
282,Levocetirizine,Indoco Remedies,2025-01-15,196,1932.87
283,B12 Injection,Sun Pharma,2024-05-23,132,314.5
284,Folic Acid 125mg injection,Pfizer,2028-10-26,72,1693.41
285,Clarithromycin 2mg cream,Lupin,2026-05-25,157,1071.62
286,Ketoconazole,Alembic,2024-09-23,43,1320.88
287,Azathioprine,Abbott,2023-06-18,7,171.63
288,Rivastigmine,Mankind Pharma,2025-05-13,196,1148.55
289,Ezetimibe,Emcure,2026-04-01,164,1913.73
290,Mupirocin 250mcg suspension,Biocon,2028-02-01,18,1380.34
291,Iron,Emcure,2028-03-17,52,686.98
292,Vitamin D3 125mg gel,RPG Life Sciences,2026-11-15,102,270.22
293,Escitalopram,Glenmark,2026-07-31,61,938.28
294,Ceftriaxone,Lupin,2024-02-01,12,587.52
295,Clopidogrel,Sanofi,2025-10-13,40,1628.82
296,Dextromethorphan,Zydus Cadila,2024-10-14,127,1991.98
297,Orlistat,Biocon,2028-07-30,5,189.2
298,Warfarin,Torrent Pharma,2025-05-31,149,712.26
299,Glibenclamide 1mg drop,Biocon,2023-02-03,27,867.55
300,Cefuroxime,Indoco Remedies,2027-07-10,93,100.03
301,Glibenclamide,Zydus Cadila,2027-01-24,141,584.32
302,Clopidogrel,Indoco Remedies,2026-02-19,159,1363.99
303,Loratadine 100mg suspension,Pfizer,2026-10-20,142,1878.51
304,Ondansetron 1mg suspension,MacLeods,2023-06-14,11,87.44
305,Methotrexate 10mg drop,Lupin,2028-10-12,35,662.65
306,Vildagliptin 20mg cream,Alembic,2026-10-09,129,1658.3
307,Erythromycin,Alembic,2026-05-12,121,1633.34
308,Escitalopram 100mg suspension,Alembic,2026-06-14,185,1745.48
309,Fenofibrate 10mg cream,Merck,2025-07-21,184,112.2
310,Mupirocin 250mcg suspension,Lupin,2025-09-19,8,1149.41
311,Lamotrigine 50mg drop,Abbott,2027-09-12,38,831.79
312,Salbutamol,Indoco Remedies,2028-04-15,188,1457.53
313,Hydroxychloroquine 500mg gel,Galderma,2028-05-13,134,759.88
314,Diclofenac,Wockhardt,2026-11-03,139,715.03
315,Propranolol,Galderma,2025-12-18,156,973.52
316,Doxycycline 5ml injection,Biocon,2026-03-29,180,422.48
317,Hydroxychloroquine,Emcure,2026-11-29,143,1868.06
318,Azathioprine 100mg suspension,Novartis,2026-11-14,197,1611.19
319,Levothyroxine 125mg capsule,Pfizer,2027-12-17,167,520.32
320,Mupirocin 2mg cream,Wockhardt,2026-01-17,35,227.36
321,Tacrolimus,Torrent Pharma,2023-07-27,171,1811.32
322,Montelukast,Sun Pharma,2024-02-15,105,667.28
323,Lorazepam 250mg tablet,Wockhardt,2024-10-08,104,1309.26
324,Lorazepam,Zydus Cadila,2026-03-22,82,577.98
325,Amlodipine,Dr. Reddy's,2025-08-09,136,1479.99
326,Cefixime,Aurobindo Pharma,2027-09-08,45,1868.51
327,Cefixime,Novartis,2028-07-22,47,1873.85
328,Levothyroxine,Cipla,2026-05-07,145,1209.54
329,Lorazepam 250mcg drop,Lupin,2028-08-27,119,552.95
330,Cetirizine 125mg drop,Merck,2025-11-19,183,380.54
331,Tacrolimus 5ml injection,Aurobindo Pharma,2027-07-19,109,1035.41
332,Omeprazole,Glenmark,2025-01-26,35,960.13
333,Doxycycline 20mg injection,Bayer,2025-12-29,84,610.87
334,Azathioprine,Mankind Pharma,2027-01-12,177,480.24
335,Gabapentin 5ml syrup,Novartis,2028-08-20,180,1541.98
336,Valproate 5ml gel,Hetero Labs,2025-06-23,56,1915.15
337,Mupirocin 125mg gel,Sanofi,2028-04-12,193,1079.66
338,Gabapentin,Indoco Remedies,2025-10-10,174,1511.93
339,Simvastatin,MacLeods,2027-01-21,19,1835.32
340,Cetirizine 2mg injection,Alembic,2024-09-05,42,662.95
341,Benzoyl Peroxide,Galderma,2025-04-21,183,1170.46
342,Omeprazole,Bayer,2023-08-16,116,272.57
343,Spironolactone,Sun Pharma,2028-03-08,172,1615.76
344,Azathioprine 5ml tablet,RPG Life Sciences,2025-06-11,148,155.33
345,Furosemide 100mg tablet,Dr. Reddy's,2028-04-17,8,581.31
346,Naproxen,Indoco Remedies,2027-09-18,95,1985.78
347,Aspirin,Novartis,2027-03-19,20,1368.63
348,Pregabalin,Lupin,2026-11-25,30,365.16
349,Erythromycin 250mg injection,Cipla,2023-04-04,76,931.38
350,Azathioprine,Wockhardt,2027-04-03,58,502.55
351,Sertraline 500mg capsule,Sun Pharma,2027-09-14,157,1534.45
352,Amoxicillin 100mg capsule,Hetero Labs,2023-05-18,114,1199.59
353,Hydroxychloroquine,Torrent Pharma,2023-07-01,102,883.54
354,Phenylephrine 50mg syrup,MacLeods,2026-03-30,59,1633.41
355,Cyclophosphamide,Alembic,2026-08-06,60,610.51
356,Vitamin D3,MacLeods,2025-06-24,105,608.0
357,Amlodipine,Alembic,2024-12-18,160,1360.71
358,Gaviscon,Pfizer,2027-04-11,134,644.28
359,Spironolactone,Biocon,2027-03-22,47,1511.29
360,Lorazepam 500mg cream,Takeda,2024-08-14,118,1830.33
361,Gaviscon,Sanofi,2028-12-10,34,782.95
362,Clarithromycin 250mcg capsule,Bayer,2027-02-28,23,1075.91
363,Prednisolone 20mg tablet,Dr. Reddy's,2025-02-09,194,1179.29
364,Gabapentin,Emcure,2025-05-05,85,613.34
365,Ibuprofen 500mg capsule,RPG Life Sciences,2028-05-15,62,1394.3
366,Hydroxychloroquine 500mg gel,Indoco Remedies,2026-03-05,97,937.84
367,Donepezil 5ml gel,MacLeods,2028-07-29,119,206.23
368,Azathioprine,Abbott,2025-04-12,94,632.71
369,Metformin,Torrent Pharma,2024-08-20,4,528.94
370,Oxymetazoline,Sanofi,2026-04-24,39,400.42
371,Metronidazole 500mg drop,Wockhardt,2026-10-14,65,1529.09
372,Neomycin,Merck,2028-07-02,117,344.78
373,Fluoxetine 125mg drop,Aurobindo Pharma,2023-08-29,134,77.31
374,Atorvastatin,Galderma,2023-07-18,195,22.7
375,Vitamin C,Torrent Pharma,2023-10-06,181,310.55
376,Budesonide,Pfizer,2023-09-05,158,1279.08
377,Vildagliptin,Galderma,2028-06-21,4,23.16
378,Pseudoephedrine,Cipla,2028-12-08,184,556.73
379,Insulin NPH 125mg suspension,Aurobindo Pharma,2024-03-14,24,1053.53
380,Fluconazole 2mg cream,Pfizer,2025-12-30,101,167.25
381,Enalapril,Torrent Pharma,2025-07-14,76,1371.24
382,Simvastatin,Merck,2023-05-10,23,816.5
383,Aspirin,Sun Pharma,2023-02-08,179,351.05
384,Bacitracin,Merck,2026-09-18,144,1954.89
385,Pantoprazole,Sun Pharma,2025-07-30,54,1803.53
386,Valproate,Emcure,2026-01-15,11,1849.08
387,Levetiracetam,Wockhardt,2023-05-15,45,1858.25
388,Metoclopramide 500mg syrup,Indoco Remedies,2027-06-20,19,605.56
389,Sodium Bicarbonate 20mg gel,Novartis,2024-07-27,176,1451.09
390,Ketoconazole,Pfizer,2023-08-08,25,879.81
391,Atorvastatin 1mg suspension,Indoco Remedies,2026-08-29,7,1271.9
392,Cetirizine-D,Pfizer,2027-03-18,110,379.62
393,Oxymetazoline,Dr. Reddy's,2026-04-24,63,1429.09
394,Simvastatin 20mg syrup,RPG Life Sciences,2027-05-15,81,727.79
395,Omeprazole 5ml drop,Pfizer,2026-01-09,26,273.69
396,Naproxen,Wockhardt,2028-09-29,104,215.55
397,Omeprazole 100mg gel,Novartis,2023-02-20,74,833.48
398,Metoprolol 2mg injection,Alembic,2028-11-04,43,1373.78
399,Folic Acid 5ml cream,Emcure,2024-08-20,16,342.74
400,Insulin Regular,Emcure,2023-11-12,92,510.88
401,Doxycycline,Emcure,2025-03-11,117,222.88
402,Sildenafil 20mg gel,Hetero Labs,2027-04-06,84,886.04
403,B12 Injection,Merck,2024-07-11,76,648.12
404,Valproate 10ml syrup,Novartis,2026-07-31,74,1472.4
405,Niacin,Alembic,2025-09-19,83,758.35
406,Warfarin 1mg injection,Alembic,2025-01-06,174,1537.56
407,Azithromycin,Bayer,2025-05-08,112,1597.39
408,Valproate 20mg drop,Lupin,2026-05-25,61,512.84
409,Calcium,Novartis,2023-10-30,114,1981.49
410,Mupirocin,Wockhardt,2028-09-06,177,842.42
411,Cefixime,Pfizer,2023-12-15,27,1540.22
412,Pregabalin,Aurobindo Pharma,2023-07-01,144,1967.38
413,Topiramate,Indoco Remedies,2026-09-20,110,220.83
414,Pantoprazole 2mg injection,Bayer,2027-03-13,100,931.5
415,Topiramate,MacLeods,2024-09-09,88,1995.43
416,Mupirocin 20mg capsule,Glenmark,2024-08-03,89,630.66
417,Loperamide,MacLeods,2028-06-01,89,957.56
418,Multivitamin,Bayer,2026-07-30,17,607.53
419,Hydroxychloroquine 10ml capsule,Galderma,2024-11-04,189,495.39
420,Diclofenac,Abbott,2027-10-13,118,471.39
421,Enalapril,Aurobindo Pharma,2027-11-06,101,68.09
422,Vildagliptin,Bayer,2027-10-26,99,18.86
423,Budesonide 125mg capsule,Alembic,2024-02-21,137,382.05
424,Domperidone 100mg cream,Galderma,2028-06-27,135,1932.17
425,Metoclopramide,Hetero Labs,2027-05-27,150,237.32
426,Fluoxetine,Hetero Labs,2024-12-07,172,1414.92
427,Sildenafil,Alembic,2023-12-14,172,276.56
428,Loratadine 100mg syrup,Pfizer,2024-08-02,130,783.04
429,Linagliptin 20mg suspension,Aurobindo Pharma,2028-06-16,162,1079.38
430,Rivastigmine,Aurobindo Pharma,2024-11-14,125,584.78
431,Naproxen 10mg tablet,Pfizer,2023-02-09,124,281.7
432,Clopidogrel,MacLeods,2028-07-20,104,1372.55
433,Spironolactone,Bayer,2028-06-24,42,174.51
